Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Tobias Harris (12083518),Tobias Harris,12083518,SF/PF/F/UTIL,6800,PHI@NY 02/13/2019 07:30PM ET,PHI,37.22
PF/C,Larry Nance Jr. (12083522),Larry Nance Jr.,12083522,PF/C/F/UTIL,6700,BKN@CLE 02/13/2019 07:00PM ET,CLE,27.95
C,Deandre Ayton (12083526),Deandre Ayton,12083526,C/UTIL,6700,PHO@LAC 02/13/2019 10:30PM ET,PHO,36.04
C,Myles Turner (12083532),Myles Turner,12083532,C/UTIL,6600,MIL@IND 02/13/2019 07:00PM ET,IND,31.82
PF/C,Kenneth Faried (12083528),Kenneth Faried,12083528,PF/C/F/UTIL,6600,HOU@MIN 02/13/2019 08:00PM ET,HOU,22.33
SG/SF,Buddy Hield (12083534),Buddy Hield,12083534,SG/SF/F/G/UTIL,6600,SAC@DEN 02/13/2019 09:00PM ET,SAC,32.89
SG/SF,Andrew Wiggins (12083542),Andrew Wiggins,12083542,SG/SF/F/G/UTIL,6500,HOU@MIN 02/13/2019 08:00PM ET,MIN,30.79
SG,Klay Thompson (12083539),Klay Thompson,12083539,SG/G/UTIL,6500,GS@POR 02/13/2019 10:30PM ET,GS,34.6
PF/C,Pascal Siakam (12083547),Pascal Siakam,12083547,PF/C/F/UTIL,6500,WAS@TOR 02/13/2019 07:30PM ET,TOR,31.65
SG/SF,Khris Middleton (12083551),Khris Middleton,12083551,SG/SF/F/G/UTIL,6400,MIL@IND 02/13/2019 07:00PM ET,MIL,33.18
SG/SF,Josh Richardson (12083559),Josh Richardson,12083559,SG/SF/F/G/UTIL,6300,MIA@DAL 02/13/2019 08:30PM ET,MIA,31.5
PF/C,Bobby Portis (12083564),Bobby Portis,12083564,PF/C/F/UTIL,6300,WAS@TOR 02/13/2019 07:30PM ET,WAS,28.5
PG,Dennis Smith Jr. (12083556),Dennis Smith Jr.,12083556,PG/G/UTIL,6300,PHI@NY 02/13/2019 07:30PM ET,NY,26.83
PG/SG,Jamal Murray (12083568),Jamal Murray,12083568,PG/SG/G/UTIL,6200,SAC@DEN 02/13/2019 09:00PM ET,DEN,33.55
PF/C,Al Horford (12083572),Al Horford,12083572,PF/C/F/UTIL,6200,DET@BOS 02/13/2019 07:30PM ET,BOS,31.44
PF/C,Jaren Jackson Jr. (12083580),Jaren Jackson Jr.,12083580,PF/C/F/UTIL,6100,MEM@CHI 02/13/2019 08:00PM ET,MEM,25.69
PF/C,Nikola Mirotic (12083576),Nikola Mirotic,12083576,PF/C/F/UTIL,6100,MIL@IND 02/13/2019 07:00PM ET,MIL,32.78
SF/PF,Jayson Tatum (12083584),Jayson Tatum,12083584,SF/PF/F/UTIL,6100,DET@BOS 02/13/2019 07:30PM ET,BOS,31.1
PF/C,Serge Ibaka (12083588),Serge Ibaka,12083588,PF/C/F/UTIL,6100,WAS@TOR 02/13/2019 07:30PM ET,TOR,31.56
PG/SG,Kris Dunn (12083592),Kris Dunn,12083592,PG/SG/G/UTIL,6000,MEM@CHI 02/13/2019 08:00PM ET,CHI,29.75
PG/SG,Spencer Dinwiddie (12083602),Spencer Dinwiddie,12083602,PG/SG/G/UTIL,6000,BKN@CLE 02/13/2019 07:00PM ET,BKN,29.31
SF/PF,Thaddeus Young (12083596),Thaddeus Young,12083596,SF/PF/F/UTIL,6000,MIL@IND 02/13/2019 07:00PM ET,IND,27.69
C,DeMarcus Cousins (12083600),DeMarcus Cousins,12083600,C/UTIL,6000,GS@POR 02/13/2019 10:30PM ET,GS,32.39
PF/C,Draymond Green (12083606),Draymond Green,12083606,PF/C/F/UTIL,6000,GS@POR 02/13/2019 10:30PM ET,GS,32.01
SF/PF,Josh Jackson (12083610),Josh Jackson,12083610,SF/PF/F/UTIL,5900,PHO@LAC 02/13/2019 10:30PM ET,PHO,22.78
PG/SG,Derrick Rose (12083614),Derrick Rose,12083614,PG/SG/G/UTIL,5900,HOU@MIN 02/13/2019 08:00PM ET,MIN,30.72
SF/PF,Robert Covington (12083622),Robert Covington,12083622,SF/PF/F/UTIL,5900,HOU@MIN 02/13/2019 08:00PM ET,MIN,29.69
PF/C,Marvin Bagley III (12083618),Marvin Bagley III,12083618,PF/C/F/UTIL,5900,SAC@DEN 02/13/2019 09:00PM ET,SAC,26.26
PG/SG,Tomas Satoransky (12083626),Tomas Satoransky,12083626,PG/SG/G/UTIL,5900,WAS@TOR 02/13/2019 07:30PM ET,WAS,20.65
PF/C,Ivan Rabb (12083636),Ivan Rabb,12083636,PF/C/F/UTIL,5800,MEM@CHI 02/13/2019 08:00PM ET,MEM,11.33
PG,Darren Collison (12083633),Darren Collison,12083633,PG/G/UTIL,5800,MIL@IND 02/13/2019 07:00PM ET,IND,25.95
PG,Jeff Teague (12083630),Jeff Teague,12083630,PG/G/UTIL,5800,HOU@MIN 02/13/2019 08:00PM ET,MIN,29.52
C,Tristan Thompson (12083655),Tristan Thompson,12083655,C/UTIL,5700,BKN@CLE 02/13/2019 07:00PM ET,CLE,31.14
SG/SF,Kelly Oubre Jr. (12083640),Kelly Oubre Jr.,12083640,SG/SF/F/G/UTIL,5700,PHO@LAC 02/13/2019 10:30PM ET,PHO,25.13
PF/C,Mason Plumlee (12083645),Mason Plumlee,12083645,PF/C/F/UTIL,5700,SAC@DEN 02/13/2019 09:00PM ET,DEN,22.63
SF/PF,Trevor Ariza (12083651),Trevor Ariza,12083651,SF/PF/F/UTIL,5700,WAS@TOR 02/13/2019 07:30PM ET,WAS,29.12
C,DeAndre Jordan (12083649),DeAndre Jordan,12083649,C/UTIL,5700,PHI@NY 02/13/2019 07:30PM ET,NY,34.11
SF/PF,Otto Porter Jr. (12083662),Otto Porter Jr.,12083662,SF/PF/F/UTIL,5600,MEM@CHI 02/13/2019 08:00PM ET,CHI,27.41
SF/PF,Cedi Osman (12083675),Cedi Osman,12083675,SF/PF/F/UTIL,5600,BKN@CLE 02/13/2019 07:00PM ET,CLE,23.68
SF/PF,T.J. Warren (12083679),T.J. Warren,12083679,SF/PF/F/UTIL,5600,PHO@LAC 02/13/2019 10:30PM ET,PHO,29.26
SG/SF,Bojan Bogdanovic (12083657),Bojan Bogdanovic,12083657,SG/SF/F/G/UTIL,5600,MIL@IND 02/13/2019 07:00PM ET,IND,26.19
PF/C,Domantas Sabonis (12083666),Domantas Sabonis,12083666,PF/C/F/UTIL,5600,MIL@IND 02/13/2019 07:00PM ET,IND,31.43
PG/SG,Reggie Jackson (12083683),Reggie Jackson,12083683,PG/SG/G/UTIL,5600,DET@BOS 02/13/2019 07:30PM ET,DET,26.68
PG/SF,Justise Winslow (12083670),Justise Winslow,12083670,PG/SF/F/G/UTIL,5600,MIA@DAL 02/13/2019 08:30PM ET,MIA,27.5
PG/SG,Malcolm Brogdon (12083687),Malcolm Brogdon,12083687,PG/SG/G/UTIL,5500,MIL@IND 02/13/2019 07:00PM ET,MIL,28.54
